#CONCEPT_CLASS
MI:0329	Participant
MI:0681	dDNA
MI:0680	sDNA
MI:0319	DNA
MI:0610	SIRNA
MI:0679	MI:0679
MI:0611	MI:0611
MI:0321	MI:0321
MI:0322	MI:0322
MI:0323	MI:0323
MI:0608	RRNA
MI:0324	MRNA
MI:0609	SNORNA
MI:0325	TRNA
MI:0607	SNRNA
MI:0320	RNA
MI:0318	Polynucleotide
MI:0904	MI:0904
MI:0326	Polypeptide
MI:0327	MI:0327
MI:0383	InfoPolymer
MI:0317	Interaction
MI:0233	MI:0233
MI:0316	MI:0316
MI:0315	Protein
MI:0314	MolCmplx
MI:0250	Gene
MI:0328	Metabolite
MI:0932	MI:0932
MI:0800	MI:0800
MI:0797	MI:0797
MI:0801	MI:0801
MI:0796	MI:0796
MI:0795	MI:0795
MI:0794	MI:0794
MI:0799	MI:0799
MI:0798	MI:0798
MI:0931	MI:0931
MI:0794	MI:0794
MI:0933	MI:0933
MI:0932	MI:0932
MI:0934	MI:0934
MI:0797	MI:0797
MI:0796	MI:0796
MI:0795	MI:0795
MI:0930	MI:0930
MI:0801	MI:0801
MI:0935	MI:0935
MI:0208	MI:0208
MI:0403	MI:0403
MI:0844	MI:0844
MI:0882	MI:0882
MI:0883	MI:0883
MI:0881	MI:0881
MI:0209	MI:0209
MI:0206	MI:0206
MI:0214	MI:0214
MI:0216	MI:0216
MI:0211	MI:0211
MI:0213	MI:0213
MI:0566	MI:0566
MI:0567	MI:0567
MI:0568	MI:0568
MI:0569	MI:0569
MI:0217	MI:0217
MI:0220	MI:0220
MI:0871	MI:0871
MI:0945	MI:0945
MI:0701	MI:0701
MI:0987	MI:0987
MI:0986	MI:0986
MI:0985	MI:0985
MI:0207	MI:0207
MI:0192	MI:0192
MI:0193	MI:0193
MI:0571	MI:0571
MI:0902	MI:0902
MI:0572	MI:0572
MI:0910	MI:0910
MI:0570	MI:0570
MI:0202	MI:0202
MI:0198	MI:0198
MI:0201	MI:0201
MI:0200	MI:0200
MI:0212	MI:0212
MI:0194	MI:0194
MI:0204	MI:0204
MI:0558	MI:0558
MI:0203	MI:0203
MI:0559	MI:0559
MI:0197	MI:0197
MI:0557	MI:0557
MI:0199	MI:0199
MI:0210	MI:0210
MI:0971	MI:0971
MI:0414	MI:0414
MI:0408	MI:0408
MI:0556	MI:0556
MI:0195	MI:0195
MI:0407	MI:0407
MI:0915	MI:0915
MI:0914	MI:0914
#RELATION_TYPE
MI:0684	MI:0684
MI:0840	MI:0840
MI:0941	MI:0941
MI:0842	MI:0842
MI:0579	MI:0579
MI:0918	MI:0918
MI:0898	MI:0898
MI:0843	MI:0843
MI:0580	MI:0580
MI:0919	MI:0919
MI:0503	MI:0503
MI:0682	MI:0682
MI:0586	MI:0586
MI:0501	MI:0501
MI:0499	participates_in
MI:0502	MI:0502
MI:0496	MI:0496
MI:0497	MI:0497
MI:0498	MI:0498
MI:0581	MI:0581
MI:0582	MI:0582
#CV
MI:0446	PubMed
MI:0574	DOI
MI:0459	MI:0459
MI:0248	RESID
MI:0592	MI:0592
MI:0601	SO
MI:2017	MI:2017
MI:0806	PDB
MI:0936	MI:0936
MI:0472	PDB
MI:0460	MI:0460
MI:0805	MI:0805
MI:0448	GO
MI:0457	SMART
MI:0458	MI:0458
MI:0455	MI:0455
MI:0456	SCOP
MI:0702	MI:0702
MI:0453	PRINTS
MI:0454	PRODOM
MI:0703	MI:0703
MI:0452	MI:0452
MI:0451	PFAM
MI:0449	IPRO
MI:0897	MI:0897
MI:0450	MI:0450
MI:0469	INTACT
MI:0464	MIPS
MI:0465	MI:0465
MI:0463	MI:0463
MI:0462	MI:0462
MI:0471	MINT
MI:0917	MI:0917
MI:0731	MI:0731
MI:0973	MI:0973
MI:0923	MI:0923
MI:0575	AFCS
MI:0488	PSI-MIO
MI:0903	MI:0903
MI:0585	MI:0585
MI:2012	MI:2012
MI:0470	KEGG
MI:0468	MI:0468
MI:0670	MI:0670
MI:0466	ECOCYC
MI:0244	MI:0244
MI:0245	MI:0245
MI:0467	REAC
MI:0967	MI:0967
MI:0974	MI:0974
MI:0831	CL
MI:0830	MI:0830
MI:0246	MI:0246
MI:2021	MI:2021
MI:2020	MI:2020
MI:2002	MI:2002
MI:2011	MI:2011
MI:0474	CHEBI
MI:2153	MI:2153
MI:2015	MI:2015
MI:2016	MI:2016
MI:2154	WIKI
MI:2054	MI:2054
MI:0864	MI:0864
MI:0942	MI:0942
MI:0730	PUBCHEM
MI:0849	MI:0849
MI:1013	ENSEMBL
MI:0675	IPI
MI:0738	MI:0738
MI:0742	MI:0742
MI:0741	MI:0741
MI:0850	MI:0850
MI:0852	NC_GI
MI:0851	NC_NP
MI:0860	GENB
MI:0476	ENSEMBL
MI:0475	MI:0475
MI:0487	WB
MI:0478	FLYBASE
MI:0477	MI:0477
MI:0486	UNIPROTKB
MI:0479	MGI
MI:0249	HUGE
MI:0480	OMIM
MI:0481	MI:0481
MI:0482	MI:0482
MI:0483	RGD
MI:0484	SGD
MI:0485	UNIPARC
MI:0924	MI:0924
MI:0673	MI:0673
MI:2004	MI:2004
MI:2005	MI:2005
MI:2007	MI:2007
MI:0304	MI:0304
MI:0303	MI:0303
MI:0306	MI:0306
MI:0305	MI:0305
MI:2003	MI:2003
MI:0302	MI:0302
MI:0301	MI:0301
MI:0345	MI:0345
#EVIDENCE_TYPE
MI:0257	MI:0257
MI:0256	MI:0256
MI:0255	MI:0255
MI:0016	MI:0016
MI:0905	MI:0905
MI:0891	MI:0891
MI:0859	MI:0859
MI:0071	MI:0071
MI:0042	MI:0042
MI:0041	MI:0041
MI:0043	MI:0043
MI:0944	MI:0944
MI:0069	MI:0069
MI:0943	MI:0943
MI:0425	MI:0425
MI:0099	MI:0099
MI:0104	MI:0104
MI:0826	MI:0826
MI:0038	MI:0038
MI:0067	MI:0067
MI:0921	MI:0921
MI:0107	MI:0107
MI:0969	MI:0969
MI:0968	MI:0968
MI:0077	MI:0077
MI:0053	MI:0053
MI:0809	MI:0809
MI:0511	MI:0511
MI:0509	MI:0509
MI:0420	MI:0420
MI:0510	MI:0510
MI:0009	MI:0009
MI:0115	MI:0115
MI:0054	MI:0054
MI:0055	MI:0055
MI:0017	MI:0017
MI:0052	MI:0052
MI:0012	MI:0012
MI:0976	MI:0976
MI:0051	MI:0051
MI:0065	MI:0065
MI:0966	MI:0966
MI:0965	MI:0965
MI:0964	MI:0964
MI:0928	MI:0928
MI:0824	MI:0824
MI:0825	MI:0825
MI:0114	MI:0114
MI:0938	MI:0938
MI:0893	MI:0893
MI:0888	MI:0888
MI:0894	MI:0894
MI:0013	MI:0013
MI:0827	MI:0827
MI:0410	MI:0410
MI:0020	MI:0020
MI:0040	MI:0040
MI:0416	MI:0416
MI:0872	MI:0872
MI:0426	MI:0426
MI:0663	MI:0663
MI:0428	MI:0428
MI:0028	MI:0028
MI:0029	MI:0029
MI:0027	MI:0027
MI:0603	MI:0603
MI:0604	MI:0604
MI:0602	MI:0602
MI:0814	MI:0814
MI:0901	MI:0901
MI:0606	MI:0606
MI:0605	MI:0605
MI:0417	MI:0417
MI:0953	MI:0953
MI:0998	MI:0998
MI:0994	MI:0994
MI:0995	MI:0995
MI:0992	MI:0992
MI:0993	MI:0993
MI:0991	MI:0991
MI:0513	MI:0513
MI:0512	MI:0512
MI:0435	MI:0435
MI:0990	MI:0990
MI:0841	MI:0841
MI:0999	MI:0999
MI:0996	MI:0996
MI:0997	MI:0997
MI:1000	MI:1000
MI:1003	MI:1003
MI:1004	MI:1004
MI:1002	MI:1002
MI:1001	MI:1001
MI:0508	MI:0508
MI:0406	MI:0406
MI:0880	MI:0880
MI:0419	MI:0419
MI:0879	MI:0879
MI:0920	MI:0920
MI:0989	MI:0989
MI:0984	MI:0984
MI:0423	MI:0423
MI:0424	MI:0424
MI:0870	MI:0870
MI:1011	MI:1011
MI:1010	MI:1010
MI:0516	MI:0516
MI:0515	MI:0515
MI:0699	MI:0699
MI:0697	MI:0697
MI:0698	MI:0698
MI:0700	MI:0700
MI:0696	MI:0696
MI:0979	MI:0979
MI:0514	MI:0514
MI:0434	MI:0434
