#CONCEPT_CLASS
SBO:0000176	Reaction
SBO:0000185	Transport
SBO:0000290	CelComp
SBO:0000297	Enzyme
SBO:0000014	Enzyme
SBO:0000299	Metabolite
SBO:0000284	Transporter
#CV
http://www.hmdb.ca/:	HMDB
\#metaid_	INCHI
urn:miriam:ec-code:	EC
urn:miriam:kegg.compound:	KEGG
urn:miriam:obo.chebi:	CHEBI
urn:miriam:obo.go:	GO
urn:miriam:pubchem.compound:	PUBCHEM
urn:miriam:sgd:	SGD
urn:miriam:uniprot:	UNIPROTKB
urn:miriam:pubmed:	PUBMED
#RELATION_TYPE
SBO:0000176:taken	cs_by
SBO:0000176:given	pd_by
SBO:0000176:modifies	catalyzes
SBO:0000185:taken	pu_by
SBO:0000185:given	do_by
SBO:0000185:modifies	performs_transport
