## This file was created at AspGD on Thu Sep 24 08:59:44 PDT 2009
Afu5g11810	ASPL0000062573	nudA
Afu2g12150	ASPL0000002456	AN6310
Afu1g10380	ASPL0000053417	AN1242
Afu4g10780	ASPL0000049675	hulE
Afu2g03030	ASPL0000077099	prp8
Afu4g11560	ASPL0000032755	AN5579
Afu1g17200	ASPL0000057701	sidC
Afu2g10270	ASPL0000006879	torA
Afu2g16420	ASPL0000064291	AN7348
Afu6g11010	ASPL0000058064	AN0594
Afu3g07860	ASPL0000036780	AN2955
Afu2g07960	ASPL0000003073	AN10734
Afu2g08670	ASPL0000003091	AN6126
Afu1g07380	ASPL0000027159	gltA
Afu6g11310	ASPL0000059511	AN0565
Afu5g08700	ASPL0000075283	AN4706
Afu3g09560	ASPL0000036818	AN3067
Afu8g04740	ASPL0000051297	AN10194
Afu3g10240	ASPL0000078074	AN4965
Afu3g04220	ASPL0000059774	AN9408
Afu2g11270	ASPL0000002144	AN5885
Afu2g13520	ASPL0000002722	AN6329
Afu6g08240	ASPL0000009727	AN3938
Afu3g00910	ASPL0000036014	AN3307
Afu3g12550	ASPL0000035576	AN3102
Afu6g12400	ASPL0000011003	fksA
Afu3g04210	ASPL0000056625	AN9407
Afu4g11290	ASPL0000028290	AN5607
Afu4g14070	ASPL0000027602	AN8369
Afu4g03070	ASPL0000044033	AN2482
Afu5g09220	ASPL0000062051	AN0239
Afu5g12660	ASPL0000056982	atmA
Afu1g14680	ASPL0000054301	AN0809
Afu6g04080	ASPL0000006743	AN6598
Afu6g02060	ASPL0000080327	AN8671
Afu4g00530	ASPL0000039468	AN9200
Afu4g07700	ASPL0000070963	AN4463
Afu6g08420	ASPL0000011225	AN3923
Afu2g13440	ASPL0000006021	csmA
Afu7g05700	ASPL0000006785	hypB
Afu1g04340	ASPL0000058094	AN0463
Afu1g05830	ASPL0000018137	AN4187
Afu5g12730	ASPL0000010516	AN7884
Afu6g08520	ASPL0000010405	cyaA
Afu6g13120	ASPL0000032967	mlp1
Afu2g15010	ASPL0000066511	srrB
Afu1g15010	ASPL0000057441	AN0842
Afu2g17600	ASPL0000012846	wA
Afu1g11110	ASPL0000055188	AN1168
Afu5g03430	ASPL0000010243	AN8211
Afu2g08440	ASPL0000005728	AN6164
Afu6g04940	ASPL0000002931	sepA
Afu2g14730	ASPL0000069504	uncA
Afu2g13430	ASPL0000000969	csmB
Afu3g05950	ASPL0000038576	bimE
Afu2g03640	ASPL0000011405	AN9463
Afu4g11070	ASPL0000029682	sonB
Afu5g06260	ASPL0000047400	AN2285
Afu3g03420	ASPL0000005436	AN6236
Afu5g05550	ASPL0000071197	AN8862
Afu2g15590	ASPL0000069050	AN7600
Afu3g14370	ASPL0000047704	AN10316
Afu6g08880	ASPL0000044576	hulC
Afu3g05630	ASPL0000034730	AN10413
Afu2g05470	ASPL0000065598	AN7499
Afu5g07970	ASPL0000064219	AN7729
Afu2g02510	ASPL0000073481	AN4639
Afu2g16040	ASPL0000042752	AN2147
Afu2g15130	ASPL0000066479	AN10949
Afu5g07170	ASPL0000047200	AN2226
Afu2g10730	ASPL0000000737	AN10755
Afu4g11240	ASPL0000030202	AN5610
Afu1g14330	ASPL0000060781	AN0771
